job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=23b55431ee569c24&fccid=a567b55ccef8e9fe&vjs=3,DevOps Engineer,Flawless AI,"Los Angeles, CA",122000,Full-time,Not available,"As a DevOps Engineer, you'll be spending the majority of your time working with our VFX, Production, and Science teams in LA to ensure they have the appropriate…",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=1c9a59085b360cf7&fccid=a567b55ccef8e9fe&vjs=3,Applied Scientist (Image Restoration/Editing-Computer Vision),Flawless AI,"Santa Monica, CA",187500,Full-time,Not available,"MS or Ph.D. in Visual Computing, Computer Vision, Machine Learning, or related field.,3+ years of proven industry or research experience with deep learning and…",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=ab14271d2fdd36f8&fccid=a567b55ccef8e9fe&vjs=3,Research Scientist (Audio-3D Vision),Flawless AI,"Santa Monica, CA",250000,Full-time,Not available,"Ph.D. or Postdoctoral researcher in 3D Computer Vision, Speech Synthesis, Computer Graphics, or related field.",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=34f1d654c5bed924&fccid=0a23aabaebf9b9d2&vjs=3,Social Media & Community Marketing Manager,Phrasee,"Remote in Chicago, IL",92500,Full-time,Not available,"We work with visionary companies such as Sephora, Walgreens, Meta and Williams Sonoma to enhance and personalize their customer experiences across the full…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=2a6eb9dd618c1ea5&fccid=c98b9c210fc31882&vjs=3,Marketing Specialist,MCI Group,"Remote in Chicago, IL",73900,Not available,Not available,"Familiarity with graphic design tools such as Canva and InDesign, content management systems, email marketing platforms and , , tools such as ChatGPT…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=f191e29a0d354b31&fccid=0a23aabaebf9b9d2&vjs=3,"Senior Manager, Content Marketing",Phrasee,"Remote in Chicago, IL",140000,Full-time,Not available,"Strong curiosity for using , , tools – specifically, LLMs – to create content that meets your need for quantity and quality.,401k matching up to 3%.",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=9f0b633e3fb63970&fccid=3a71a4d2f7990a25&vjs=3,Sr. Innovation Venture Lead,Allstate,"Remote in Chicago, IL",85550,Not available,3.7,"Exploration of emerging device (e.g. smart phone) protection space that resulted in $1.4B acquisition of SquareTrade Inc.,Expert in MS Excel is required.",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=f89139fad198b6ee&fccid=41c8b8e657c4d93a&vjs=3,Legal Technologist,Paul Hastings,"Chicago, IL",110150,Not available,3.5,"Knowledge of , technology and techniques such as NLP, ML, , , technologies (e.g., ChatGPT);,This role works within the Firm's Practice Innovation and…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=739fad437b25c6fd&fccid=3a71a4d2f7990a25&vjs=3,Sr. Innovation Data Scientist,Allstate,"Remote in Chicago, IL",121162.5,Not available,3.7,"Allstate Innovation helps drive Allstate’s future by identifying compelling business opportunities, developing selected opportunities into thriving businesses,…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=b97b248c5c5c0f3d&fccid=bc51f56762438d6f&vjs=3,MARKETING ANALYTICS – OPEN RANK T/TT,Northwestern University,"Evanston, IL",Not available,Tenure track,4.1,"Candidates with expertise in conversational platforms, , ,, digital/social/mobile media marketing, and customer analytics using large scale data…",Generative AI,Chicago
